ID,LON,LAT,API NUMBER,FILE_NAME,X (M),Y (M),X OFFSET (M),Y OFFSET (M),LON_TOP,LAT_TOP,DEPTH TO TOP OF RESERVOIR (M),TOP OF RESERVOIR ELEVATION (M),WELL LENGTH (M),DEPTH TO TOP OF CEMENT (M),FAULT DEPTH (M),PRODUCTION BORING DIAMETER (M),PRODUCTION CASING OUTER DIAMETER (M),TUBING OUTER DIAMETER (M),CEMENTED AT FAULT DEPTH?,CASING FLOW?,PRODUCTION BORING DIAMETER (IN),PRODUCTION CASING OUTER DIAMETER (IN),TUBING OUTER DIAMETER (IN),BORING-CASING_IN,BORING-TUBING_IN,CASING-TUBING_IN,BORING-CASING_CLOSEST_MODE_1,BORING-CASING_CLOSEST_MODE_2,BORING-CASING_CLOSEST_MODE_4,BORING-CASING_CONTROL_MODE,BORING-TUBING_CLOSEST_MODE_1,BORING-TUBING_CLOSEST_MODE_2,BORING-TUBING_CLOSEST_MODE_4,BORING-TUBING_CONTROL_MODE,CASING-TUBING_CLOSEST_MODE_1,CASING-TUBING_CLOSEST_MODE_2,CASING-TUBING_CLOSEST_MODE_4,CASING-TUBING_CONTROL_MODE,SHEAR: WELL_MODE_CHECK,WELL MODE FOR SHEAR,SHEAR MODE SAME?,TUBING FLOW?,"SHAKING: WELL_MODE_CHECK, ASSUMING WELL IS NOT CONFIG FOR TUBING FLOW",WELL MODE FOR SHAKING,SHAKING MODE SAME?,CASING PRESSURE (PSI),YOUNG'S MODULUS OF ROCK (GPA),FRICTION ANGLE OF CEMENT (DEGREE),INNER STRING?,CEMENTED AT SURFACE?,WELL MODE FOR SHAKING.1,WELLHEAD TUBING PRESSURE (MPA),PRODUCTION CASING INNER DIAMETER (M),PRODUCTION CASING WEIGHT (KG/M),PRODUCTION CASING STEEL GRADE,PRODUCTION CASING STRENGTH (MPA),PROD. CASING BURST PRESSURE (MPA),SOIL FRICTION ANGLE (DEG),WELLHEAD HEIGHT (FT),WELLHEAD MASS (LB),WELLHEAD HEIGHT (M),WELLHEAD MASS (KG),WELL MASS PER LENGTH (KG/M),vs30,vs30source,z1p0,z2p5
11,-118.585695,34.446812,3721474,0403721474.txt,129916.2249,-395624.5885,130006.7528,-395396.63,-118.585695,34.446812,2900.38,-2429.251059,2429.251059,5000,317.5710688,0.31115,0.244475,0.073025,No,No,12.25,9.625,2.875,2.625,9.375,6.75,1,0.25,1.375,2,0.625,3,1.625,1,1.625,3.25,3,1,1,1,yes,Yes,4,4,yes,-,17.15072,25,Yes,Yes,4,22.40107524,0.222504,64.73507874,N,551.5808,43.37430836,33,10,7200,3.048,3265.898576,1071.489034,444,Inferred,0.15,1.55
12,-118.585573,34.446122,3721475,0403721475.txt,129928.3537,-395701.0473,130442.7954,-395315.8134,-118.585573,34.446122,2755.83,-2321.838994,2321.838994,100,904.0595286,0.31115,0.244475,0.0889,Yes,No,12.25,9.625,3.5,2.625,8.75,6.125,1,0.25,1.375,2,0,2.375,1,1,1,2.625,2.375,1,1,1,yes,Yes,1,1,yes,-,17.15072,25,No,No,1,22.83544512,0.224536,59.52650919,N,551.5808,39.36281164,33,10,7200,3.048,3265.898576,1071.489034,444,Inferred,0.15,1.55
13,-118.590371,34.44754,3721677,0403721677.txt,129485.3765,-395550.2869,129493.5154,-395310.7429,-118.590371,34.44754,2851.51,-2496.107917,2496.107917,100,1357.65544,0.31115,0.244475,0.0889,Yes,No,12.25,9.625,3.5,2.625,8.75,6.125,1,0.25,1.375,2,0,2.375,1,1,1,2.625,2.375,1,1,1,yes,Yes,1,1,yes,-,17.15072,25,Yes,No,1,23.1663936,0.224536,59.52650919,N,551.5808,39.36281164,33,10,7200,3.048,3265.898576,1071.489034,444,Inferred,0.15,1.55
14,-118.586058,34.448601,3721678,0403721678.txt,129879.7666,-395426.6516,129903.561,-395282.9326,-118.586058,34.448601,2716.81,-2361.409926,2361.409926,100,888.5018517,0.31115,0.244475,0.1143,Yes,No,12.25,9.625,4.5,2.625,7.75,5.125,1,0.25,1.375,2,1,1.375,0,4,1.78E-15,1.625,1.375,1,1,1,yes,Yes,1,1,yes,-,17.15072,25,Yes,Yes,1,22.77339228,0.222504,64.73507874,N,551.5808,43.37430836,33,10,7200,3.048,3265.898576,1071.489034,444,Inferred,0.15,1.55
15,-118.598923,34.450553,3721680,0403721680.txt,128694.9412,-395227.5962,128907.4835,-395204.9598,-118.598923,34.450553,2884.45,-2529.052942,2529.052942,100,1106.354398,0.31115,0.244475,0.0889,Yes,No,12.25,9.625,3.5,2.625,8.75,6.125,1,0.25,1.375,2,0,2.375,1,1,1,2.625,2.375,1,1,1,yes,Yes,1,1,yes,-,17.15072,25,Yes,Yes,1,20.87733328,0.222504,64.73507874,N,551.5808,43.37430836,33,10,7200,3.048,3265.898576,1071.489034,351.9,Inferred,0.35,3.5
16,-118.598636,34.450905,3721681,0403721681.txt,128720.7441,-395188.2045,129157.3375,-395154.2194,-118.598636,34.450905,2800.91,-2445.513461,2445.513461,5000,312.6396514,0.31115,0.244475,0.0889,No,No,12.25,9.625,3.5,2.625,8.75,6.125,1,0.25,1.375,2,0,2.375,1,1,1,2.625,2.375,1,1,1,yes,Yes,1,1,yes,-,17.15072,25,Yes,No,1,22.7182342,0.224536,59.52650919,N,551.5808,39.36281164,33,10,7200,3.048,3265.898576,1071.489034,351.9,Inferred,0.35,3.5
17,-118.601874,34.451046,3721683,0403721683.txt,128423.1131,-395176.946,128390.6783,-395139.1792,-118.601874,34.451046,2880.88,-2525.479424,2525.479424,5000,1066.180981,0.31115,0.244475,0.0889,No,No,12.25,9.625,3.5,2.625,8.75,6.125,1,0.25,1.375,2,0,2.375,1,1,1,2.625,2.375,1,1,1,yes,Yes,1,1,yes,-,17.15072,25,Yes,Yes,1,22.44933856,0.222504,64.73507874,N,551.5808,43.37430836,33,10,7200,3.048,3265.898576,1071.489034,351.9,Inferred,0.35,3.5
18,-118.600909,34.450888,3721685,0403721685.txt,128511.9974,-395193.1655,128800.3426,-395162.7242,-118.600909,34.450888,2894.28,-2538.883496,2538.883496,100,1102.208878,0.31115,0.244475,0.0889,Yes,No,12.25,9.625,3.5,2.625,8.75,6.125,1,0.25,1.375,2,0,2.375,1,1,1,2.625,2.375,1,1,1,yes,Yes,1,1,yes,-,17.15072,25,Yes,Yes,1,21.1669132,0.222504,64.73507874,N,551.5808,43.37430836,33,10,7200,3.048,3265.898576,1071.489034,351.9,Inferred,0.35,3.5
19,-118.588946,34.44729,3721697,0403721697.txt,129616.7001,-395576.1554,129613.6276,-395155.764,-118.588946,34.44729,2712.66,-2357.26101,2357.26101,100,1228.014765,0.31115,0.244475,0.0889,Yes,No,12.25,9.625,3.5,2.625,8.75,6.125,1,0.25,1.375,2,0,2.375,1,1,1,2.625,2.375,1,1,1,yes,Yes,1,1,yes,-,17.15072,25,Yes,No,1,21.53233548,0.222504,64.73507874,N,551.5808,43.37430836,33,10,7200,3.048,3265.898576,1071.489034,444,Inferred,0.15,1.55
20,-118.587664,34.445225,3721713,0403721713.txt,129737.8226,-395803.4653,129603.8172,-395414.2996,-118.587664,34.445225,2916.86,-2561.457165,2561.457165,100,2178.332031,0.31115,0.244475,0.073025,Yes,No,12.25,9.625,2.875,2.625,9.375,6.75,1,0.25,1.375,2,0.625,3,1.625,1,1.625,3.25,3,1,1,1,yes,Yes,4,4,yes,-,17.15072,25,No,No,4,23.74555344,0.224536,59.52650919,N,551.5808,39.36281164,33,10,7200,3.048,3265.898576,1071.489034,444,Inferred,0.15,1.55
21,-118.595141,34.445722,3724208,0403724208.txt,129050.1875,-395758.5453,129281.5828,-395586.2153,-118.595141,34.445722,3116.47,-2761.070424,2761.070424,100,1450.672447,0.250825,0.1778,0.0889,Yes,No,9.875,7,3.5,2.875,6.375,3.5,0.75,8.88E-16,1.125,2,2.375,1.78E-15,1.375,2,1.625,4.44E-16,0.25,2,2,2,yes,Yes,2,2,yes,-,17.15072,25,No,Yes,2,19.5121708,0.159512,38.69223097,L,551.5808,49.642272,33,10,7200,3.048,3265.898576,1071.489034,351.9,Inferred,0.35,3.5
