ID,LAT_BEGIN,LONG_BEGIN,LAT_END,LONG_END,LAT_MIDDLE,LONG_MIDDLE,Slope (deg),Vs30 (m/s),Water Table Depth (m),Distance to River (km),Distance to Coast (km),Distance to Water Body (km),Mean Annual Precipitation (mm),Geologic Unit,Friction Angle (deg),Cohesion (kPa),Unit Weight (kN/m3),Slope Thickness (m),Root Cohesion (kPa),Outside Diameter (in),Material & Welds,Year of Installation
13,37.80892076,-122.3359394,37.81220595,-122.3295096,37.81056336,-122.3327245,0.320443122,150,0,7.683916948,0.000493063,0.018171785,787.3999634,Q,28,19.1,19.65144231,6,10,28,X-52 Steel with SEAW,1984
14,37.81220595,-122.3295096,37.81549114,-122.3230799,37.81384854,-122.3262947,0.26232233,999,0,7.206518548,0.057848599,0.05017056,787.3999634,water,9999,9999,9999,6,10,6,X-42 Steel,1968
15,37.81549114,-122.3230799,37.81877632,-122.3166501,37.81713373,-122.319865,0.991990858,999,0,6.77767292,0.170270256,0.029898838,797.2341862,water,9999,9999,9999,6,10,38,Grade C Steel with Welded Slip Joint & Mechanical Coupling,1957
16,37.81877632,-122.3166501,37.82206151,-122.3102204,37.82041892,-122.3134352,0.656924686,150,0,6.396015094,0.157012059,0.094031742,810.8674371,water,9999,9999,9999,6,10,8,X-42 Steel,1962
17,37.82206151,-122.3102204,37.8253467,-122.3037906,37.82370411,-122.3070055,0.659178026,225.6000061,0,6.044996935,0.141865471,0.108269221,814.6885111,Q,28,19.1,19.65144231,6,10,6,X-42 Steel,1952
18,37.8253467,-122.3037906,37.8258557,-122.2963608,37.8256012,-122.3000757,0.557613821,225.6000061,0,5.857252457,0.267643215,0.11225557,826.9081777,Q,28,19.1,19.65144231,6,10,18,Grade C or D Steel with Welded Slip Joint & Mechanical Coupling,1997
19,37.8258557,-122.2963608,37.8263647,-122.288931,37.8261102,-122.2926459,0.807045695,225.6777986,0.524830883,5.793448869,0.722770659,0.731087401,839.9297765,Q,28,19.1,19.65144231,6,10,6,Grade C Steel with Welded Slip Joint & Mechanical Coupling,1947
20,37.8263647,-122.288931,37.82630925,-122.2829025,37.82633698,-122.2859168,0.787767443,293.5,1.567675364,5.721518056,1.294997098,1.309811178,850.1127277,Qoa,30,15.1,19.65144231,6,10,16,Grade B Steel with UEAW,1978
21,37.82630925,-122.2829025,37.8262538,-122.276874,37.82628153,-122.2798883,0.685934823,293.5,2.082590077,5.496586279,1.822492953,1.831360929,859.3827019,Qoa,30,15.1,19.65144231,6,10,16,X-52 Steel with SEAW,1931
22,37.8262538,-122.276874,37.82974614,-122.2697666,37.82799997,-122.2733203,0.811504372,293.5,2.590450192,5.196341598,2.405204205,2.42278399,863.5999756,Qoa,30,15.1,19.65144231,6,10,38,X-52 Steel with SEAW,1933
23,37.82974614,-122.2697666,37.83323848,-122.2626593,37.83149231,-122.266213,1.180023275,293.5,1.61988932,4.871340101,3.077160034,3.070387298,874.4912102,Qoa,30,15.1,19.65144231,6,10,10,Grade C or D Steel with Welded Slip Joint & Mechanical Coupling,1980
24,37.83323848,-122.2626593,37.83673081,-122.2555519,37.83498464,-122.2591056,3.113747789,293.5,2.168775823,4.58052507,3.732914691,3.721211107,904.4945545,Qoa,30,15.1,19.65144231,6,10,18,X-52 Steel with SEAW,1991
25,37.83673081,-122.2555519,37.84022315,-122.2484446,37.83847698,-122.2519982,2.357248018,403.4977803,4.853035519,4.302022421,4.396440105,4.082357201,914.9890298,Qoa,30,15.1,19.65144231,6,10,34,X-52 Steel with SEAW,1996
26,37.84022315,-122.2484446,37.84371549,-122.2413372,37.84196932,-122.2448909,8.060860462,721.6654239,13.93325125,3.813136824,5.06875913,4.131443985,946.0149553,KJf,30,20.6,25.62548077,6,10,18,Grade B Steel with UEAW,1982
27,37.84371549,-122.2413372,37.84720783,-122.2342298,37.84546166,-122.2377835,13.82000783,733.4000244,11.18074638,3.521846134,5.751100392,3.553516996,963.7369175,KJf,30,20.6,25.62548077,6,10,22,X-52 Steel with SEAW,1934
28,37.84720783,-122.2342298,37.85070016,-122.2271225,37.84895399,-122.2306761,13.87443531,717.3016474,27.03986353,3.294025767,6.432459064,3.189217665,982.1878599,Ti,31,17.5,29.24134615,6,10,2,X-52 Steel with SEAW,1957
29,37.85070016,-122.2271225,37.8541925,-122.2200151,37.85244633,-122.2235688,15.21801455,502.5,37.95850818,2.979333588,7.109707717,2.965427281,1001.664217,K,29,21.1,22.32403846,6,10,38,X-52 Steel with SEAW,1981
30,37.8541925,-122.2200151,37.8566116,-122.2140756,37.85540205,-122.2170453,13.40164108,396.602796,28.24263951,2.840199727,7.736395919,2.837395266,1021.557454,M,30,19.9,22.32403846,6,10,32,X-52 Steel with SEAW,1960
31,37.8566116,-122.2140756,37.8590307,-122.2081361,37.85782115,-122.2111058,13.35632228,472.6520453,27.23263678,2.862731557,8.30304864,2.715864339,1039.660489,QPc,28,18,19.65144231,6,10,26,X-52 Steel with SEAW,1967
32,37.8590307,-122.2081361,37.8614498,-122.2021966,37.86024025,-122.2051663,18.48270363,494.0665342,17.80473363,2.470008222,8.872054693,2.470526007,1057.76562,QPc,28,18,19.65144231,6,10,8,Grade C or D Steel with Welded Slip Joint & Mechanical Coupling,1931
33,37.8614498,-122.2021966,37.8638689,-122.1962571,37.86265935,-122.1992268,16.60951177,395.36299,22.50068146,2.109244172,9.431344713,2.087244692,1075.867738,QPc,28,18,19.65144231,6,10,42,X-52 Steel with SEAW,1951
34,37.8638689,-122.1962571,37.866288,-122.1903176,37.86507845,-122.1932873,18.07637695,387.5886806,29.14670831,1.836407725,9.988819126,1.84553378,1093.972948,QPc,28,18,19.65144231,6,10,8,X-60 Steel with SEAW,1969
35,37.866288,-122.1903176,37.8687071,-122.1843781,37.86749755,-122.1873478,12.16558815,515.8146756,20.39461386,1.767657922,10.55048311,1.773584175,1112.07511,Tv,29,18.7,18.07932692,6,10,28,Grade B Steel with UEAW,1990
36,37.8687071,-122.1843781,37.8711262,-122.1784386,37.86991665,-122.1814083,11.12290007,470.2086344,25.62391356,1.874589746,11.11827233,1.884049694,1130.180319,Tv,29,18.7,18.07932692,6,10,14,X-60 Steel with SEAW,1980
37,37.8711262,-122.1784386,37.8735453,-122.1724991,37.87233575,-122.1754688,14.41788156,469.4962592,30.34612979,2.111116816,11.67695792,2.144032191,1147.991919,QPc,28,18,19.65144231,6,10,6,Grade B Steel with UEAW,1993
38,37.8735453,-122.1724991,37.8759644,-122.1665595,37.87475485,-122.1695293,17.09836199,468.7241898,33.04603115,2.523165404,12.23308937,2.507404408,1158.723981,QPc,28,18,19.65144231,6,10,4,X-52 Steel with SEAW,1970
39,37.8759644,-122.1665595,37.8783835,-122.16062,37.87717395,-122.1635898,12.02913443,467.9005489,26.5621504,2.50321139,12.81366338,2.510640547,1153.363167,QPc,28,18,19.65144231,6,10,20,X-52 Steel with SEAW,1941
40,37.8783835,-122.16062,37.8808026,-122.1546805,37.87959305,-122.1576503,11.92483792,467.03363,21.9850614,2.147241727,13.37369284,2.158106067,1145.99002,QPc,28,18,19.65144231,6,10,4,X-52 Steel with SEAW,1989
41,37.8808026,-122.1546805,37.8832217,-122.148741,37.88201215,-122.1517108,12.12396229,466.1326648,13.55399828,1.59999279,13.91483818,1.591217484,1137.378076,QPc,28,18,19.65144231,6,10,40,X-52 Steel with SEAW,1990
42,37.8832217,-122.148741,37.8856408,-122.1428015,37.88443125,-122.1457713,9.287576191,465.2064333,4.660632943,1.12115184,14.49033689,1.041912002,1120.71422,QPc,28,18,19.65144231,6,10,34,X-52 Steel with SEAW,1999
43,37.8856408,-122.1428015,37.8880599,-122.136862,37.88685035,-122.1398318,15.21869752,372.9367966,15.19111137,0.741101211,14.52703193,0.707835836,1096.028639,QPc,28,18,19.65144231,6,10,4,X-52 Steel with SEAW,1961
44,37.8880599,-122.136862,37.890479,-122.1309225,37.88926945,-122.1338923,12.32448729,390.6637768,16.57229626,0.557353299,14.34935873,0.592251823,1061.790268,QPc,28,18,19.65144231,6,10,6,X-52 Steel with SEAW,1962
45,37.890479,-122.1309225,37.8928981,-122.124983,37.89168855,-122.1279528,7.119354548,351.8999939,8.133079243,0.748495614,14.14343759,0.684263468,1043.688193,QPc,28,18,19.65144231,6,10,8,X-52 Steel with SEAW,1967
